Preguntas;Respuestas
¿Cuál es la dinámica de la promoción?;"Por compras superiores a RD$3,000.00 incluyendo 3 productos de marcas patrocinadoras podrás activar tu cupón de descuento sorpresa."
¿Cuál es la vigencia de la promoción?;"La vigencia de la promoción es por semana.
La primera semana desde el miércoles 30 hasta el domingo 4 de diciembre.
La segunda semana desde el lunes 5 hasta el domingo 11 de diciembre.
La 3era. Semana desde el lunes 12 hasta el domingo 18 de diciembre."
¿Cómo obtengo mi bono de descuento sorpresa?;Puedes obtener tu bono de descuento sorpresa a tráves de www.elcampanazonacional.com después de llenar los datos requeridos.
¿Cómo participo en la promoción de El Campanazo de Supermercados Nacional?;"Participas comprando un monto superior de RD$3,000.00, incluyendo 3 productos de marcas patrocinadoras en cualquiera de nuestras tiendas físicas y/u online de Supermercados Nacional, a partir del miércoles 30 de noviembre del 2022."
¿Qué porcentaje de descuento obtengo al participar en la promoción?;"El porcentaje de descuento que recibirás será sorpresa, desde un 10% hasta un 20% de descuento todas las semanas."
¿La promoción aplica en la tienda online Supermercadosnacional.com?;"Sí, aplica toda la compra realizada a partir del miércoles 30 de noviembre del 2022 con un monto superior de RD$3,000 incluyendo 3 productos de marcas patrocinadoras."
¿Cómo utilizo mi bono de descuento sorpresa en Supermercadosnacional.com ?;Lo utilizas introduciendo el código del cupón en la casilla de cupón descuento y luego aplicarlo a la compra.
¿Dónde puedo utilizar el bono de descuento sorpresa?;El bono de descuento lo puedes utilizar en todas las tiendas de Supermercados Nacional. Aplica también Online. A partir del miércoles 30 de noviembre del 2022.
 ¿Cuáles productos aplican para la promoción?;"Aplica toda la tienda, exceptuando las recargas telefónicas, ventas a crédito, notas de crédito, pagos con bonos físicos y/o electrónicos ni las compras al por mayor o en cajas. El Tope máximo de descuento es de RD$10,000. Sólo un bono por cliente. El cliente puede combinar las marcas patrocinadoras como desee."
¿Qué vigencia tiene mi cupón de descuento sorpresa?;"Los bonos se activan por semana, por lo cual debo de utilizar mi bono en la misma semana que fue generado.
La primera semana desde el miércoles 30 hasta el domingo 4 de diciembre.
La segunda semana desde el lunes 5 hasta el domingo 11 de diciembre.
La 3era. Semana desde el lunes 12 hasta el domingo 18 de diciembre."
¿Qué pasa si genero mi bono sorpresa en la primera semana y lo utilizo en la segunda semana?;"Los bonos se activan por semana, por lo cual el bono generado en la primera semana solo tiene validez esa misma semana. Para la segunda semana puedes generar un bono nuevo."
¿Cuáles son las marcas patrocinadoras participantes?;"Heinz, Citterio, Coca Cola, Brugal 1888, Corona, Corona Tropical, Colgate, Giselle, Nosotras, Pequeñin, Pollo Cibao, Pampers, Gillette, Always, H&S, Petit, ElPozo, Molino del sol, La Garza, Lays, Deliciel, Origen Nacional, Goya, San Juan, Café Santo Domingo, Caserío, Santal, Jajá, Airwick, Garnier, Cerave, Coorsur, Kinder Gold, Caribia, Johnnie Walker Gold Label Reserve, Crisol, Choco Wow, La Famosa, Chef, Yoplait, Sosua, Termopac, Omo, Dove, Vima, Líder, Food Club, Simply Done, Full Circle, Bergen, Naty, La Salud, Puro Sabor, Stoli, Ramón Bilbao, Ritter, Juve & Camps y Jack Daniels."
